Game,Level,Iteration,GPT-5.2 Winner,Gemini-3 Winner,Claude-Opus Winner,Qwen-3 Winner
boulderchase,level_0,iteration_0,XYZ,XYZ,XYZ,XYZ
brainman,level_0,iteration_0,XYZ,ABC,XYZ,XYZ
cakybaky,level_0,iteration_0,XYZ,XYZ,XYZ,XYZ
defender,level_0,iteration_0,XYZ,XYZ,XYZ,XYZ
digdug,level_0,iteration_0,XYZ,XYZ,ABC,XYZ
iceandfire,level_0,iteration_0,ABC,ABC,ABC,TIE
lasers2,level_0,iteration_0,TIE,ABC,TIE,XYZ
portals,level_0,iteration_0,TIE,PARSE_ERROR,TIE,N/A
racebet,level_0,iteration_0,ABC,ABC,TIE,XYZ
boulderchase,level_1,iteration_0,XYZ,ABC,TIE,XYZ
brainman,level_1,iteration_0,XYZ,ABC,XYZ,XYZ
cakybaky,level_1,iteration_0,XYZ,XYZ,XYZ,XYZ
defender,level_1,iteration_0,ABC,ABC,ABC,XYZ
digdug,level_1,iteration_0,ABC,XYZ,ABC,TIE
iceandfire,level_1,iteration_0,XYZ,ABC,ABC,XYZ
lasers2,level_1,iteration_0,XYZ,XYZ,XYZ,XYZ
portals,level_1,iteration_0,TIE,PARSE_ERROR,TIE,N/A
racebet,level_1,iteration_0,XYZ,ABC,ABC,TIE
boulderchase,level_2,iteration_0,ABC,XYZ,ABC,XYZ
brainman,level_2,iteration_0,XYZ,XYZ,ABC,XYZ
cakybaky,level_2,iteration_0,XYZ,XYZ,XYZ,XYZ
defender,level_2,iteration_0,XYZ,XYZ,XYZ,XYZ
digdug,level_2,iteration_0,XYZ,XYZ,XYZ,XYZ
iceandfire,level_2,iteration_0,XYZ,XYZ,XYZ,XYZ
lasers2,level_2,iteration_0,XYZ,XYZ,XYZ,XYZ
portals,level_2,iteration_0,TIE,PARSE_ERROR,TIE,N/A
racebet,level_2,iteration_0,XYZ,XYZ,ABC,XYZ
boulderchase,level_3,iteration_0,ABC,ABC,XYZ,XYZ
brainman,level_3,iteration_0,ABC,ABC,ABC,ABC
cakybaky,level_3,iteration_0,XYZ,XYZ,XYZ,XYZ
defender,level_3,iteration_0,XYZ,XYZ,ABC,XYZ
digdug,level_3,iteration_0,XYZ,XYZ,XYZ,ABC
iceandfire,level_3,iteration_0,XYZ,XYZ,ABC,XYZ
lasers2,level_3,iteration_0,XYZ,XYZ,XYZ,XYZ
portals,level_3,iteration_0,TIE,PARSE_ERROR,TIE,N/A
racebet,level_3,iteration_0,XYZ,XYZ,XYZ,XYZ
boulderchase,level_4,iteration_0,ABC,ABC,XYZ,ABC
brainman,level_4,iteration_0,XYZ,XYZ,XYZ,XYZ
cakybaky,level_4,iteration_0,XYZ,ABC,XYZ,ABC
defender,level_4,iteration_0,ABC,ABC,ABC,ABC
digdug,level_4,iteration_0,XYZ,XYZ,XYZ,XYZ
iceandfire,level_4,iteration_0,ABC,ABC,XYZ,ABC
lasers2,level_4,iteration_0,XYZ,ABC,ABC,XYZ
portals,level_4,iteration_0,TIE,PARSE_ERROR,XYZ,N/A
racebet,level_4,iteration_0,XYZ,XYZ,N/A,ABC
