Game,Level,Iteration,GPT-5.2 Winner,Gemini-3 Winner,Claude-Opus Winner,Qwen-3 Winner
boulderchase,level_0,iteration_0,XYZ,XYZ,XYZ,XYZ
brainman,level_0,iteration_0,XYZ,XYZ,XYZ,XYZ
cakybaky,level_0,iteration_0,ABC,XYZ,XYZ,XYZ
defender,level_0,iteration_0,XYZ,XYZ,XYZ,XYZ
digdug,level_0,iteration_0,ABC,XYZ,XYZ,ABC
iceandfire,level_0,iteration_0,XYZ,XYZ,XYZ,XYZ
lasers2,level_0,iteration_0,XYZ,XYZ,XYZ,XYZ
portals,level_0,iteration_0,XYZ,XYZ,XYZ,XYZ
racebet,level_0,iteration_0,XYZ,XYZ,XYZ,XYZ
boulderchase,level_1,iteration_0,N/A,N/A,N/A,N/A
brainman,level_1,iteration_0,XYZ,XYZ,XYZ,XYZ
cakybaky,level_1,iteration_0,XYZ,XYZ,XYZ,XYZ
defender,level_1,iteration_0,XYZ,XYZ,XYZ,XYZ
digdug,level_1,iteration_0,TIE,XYZ,ABC,XYZ
iceandfire,level_1,iteration_0,XYZ,ABC,XYZ,XYZ
lasers2,level_1,iteration_0,XYZ,XYZ,TIE,XYZ
portals,level_1,iteration_0,XYZ,XYZ,XYZ,XYZ
racebet,level_1,iteration_0,XYZ,XYZ,ABC,XYZ
boulderchase,level_2,iteration_0,ABC,ABC,XYZ,ABC
brainman,level_2,iteration_0,XYZ,XYZ,XYZ,XYZ
cakybaky,level_2,iteration_0,XYZ,ABC,XYZ,XYZ
defender,level_2,iteration_0,ABC,XYZ,XYZ,XYZ
digdug,level_2,iteration_0,XYZ,ABC,ABC,XYZ
iceandfire,level_2,iteration_0,N/A,N/A,N/A,N/A
lasers2,level_2,iteration_0,ABC,ABC,XYZ,XYZ
portals,level_2,iteration_0,XYZ,XYZ,XYZ,ABC
racebet,level_2,iteration_0,ABC,ABC,TIE,XYZ
boulderchase,level_3,iteration_0,XYZ,XYZ,XYZ,XYZ
brainman,level_3,iteration_0,XYZ,XYZ,XYZ,XYZ
cakybaky,level_3,iteration_0,XYZ,ABC,ABC,XYZ
defender,level_3,iteration_0,ABC,XYZ,ABC,ABC
digdug,level_3,iteration_0,XYZ,ABC,XYZ,XYZ
iceandfire,level_3,iteration_0,XYZ,ABC,XYZ,ABC
lasers2,level_3,iteration_0,XYZ,XYZ,ABC,XYZ
portals,level_3,iteration_0,XYZ,XYZ,XYZ,XYZ
racebet,level_3,iteration_0,XYZ,XYZ,XYZ,XYZ
boulderchase,level_4,iteration_0,XYZ,ABC,ABC,XYZ
brainman,level_4,iteration_0,ABC,ABC,ABC,XYZ
cakybaky,level_4,iteration_0,N/A,N/A,N/A,N/A
defender,level_4,iteration_0,XYZ,XYZ,ABC,ABC
digdug,level_4,iteration_0,ABC,XYZ,XYZ,XYZ
iceandfire,level_4,iteration_0,ABC,ABC,ABC,XYZ
lasers2,level_4,iteration_0,ABC,XYZ,XYZ,XYZ
portals,level_4,iteration_0,ABC,ABC,ABC,ABC
racebet,level_4,iteration_0,ABC,ABC,ABC,ABC
